trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.7, 'e': 0.8439999999999999}",25,0,-176.55765640941368,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
157,False,"{'a': 0.7, 'e': 0.8429999999999999}",30,23,4.273245436794209,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.8419999999999999}",25,0,-53.47883675846919,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
159,False,"{'a': 0.7, 'e': 0.8409999999999999}",25,0,-45.81854458815099,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
160,False,"{'a': 0.7, 'e': 0.8399999999999999}",25,0,-82.6431008758499,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
161,False,"{'a': 0.7, 'e': 0.8389999999999999}",25,0,-49.69614889121763,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.8379999999999999}",20,0,-134.74339807495738,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
163,False,"{'a': 0.7, 'e': 0.8369999999999999}",20,0,-82.65671678356067,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
164,False,"{'a': 0.7, 'e': 0.8359999999999999}",25,0,-80.69758053394273,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
165,False,"{'a': 0.7, 'e': 0.8349999999999999}",30,0,-147.07385540632117,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
166,False,"{'a': 0.7, 'e': 0.8339999999999999}",20,0,-66.55319438047863,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
167,False,"{'a': 0.7, 'e': 0.8329999999999999}",35,14,-63.603988537383174,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.8319999999999999}",30,0,-100.34544429873192,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
169,False,"{'a': 0.7, 'e': 0.8309999999999998}",20,0,-34.45100325715361,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
170,False,"{'a': 0.7, 'e': 0.8299999999999998}",20,0,-93.19217085485063,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
171,False,"{'a': 0.7, 'e': 0.8289999999999998}",25,0,-70.94008076788887,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
172,False,"{'a': 0.7, 'e': 0.8279999999999998}",25,0,-95.2451022710848,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
173,False,"{'a': 0.7, 'e': 0.8269999999999998}",30,0,-137.63992527772047,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
174,False,"{'a': 0.7, 'e': 0.8259999999999998}",30,0,-138.4191037867152,"{0: 22, 1: 1, 2: 2, 3: 3, 4: 2}",0
175,False,"{'a': 0.7, 'e': 0.8249999999999998}",20,0,-50.91974201936354,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
176,False,"{'a': 0.7, 'e': 0.8239999999999998}",20,0,20.78816968545136,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.7, 'e': 0.8229999999999998}",20,0,-11.08790440355388,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
178,False,"{'a': 0.7, 'e': 0.8219999999999998}",25,0,-83.83838420891308,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.7, 'e': 0.8209999999999998}",30,0,-187.575707613754,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
180,False,"{'a': 0.7, 'e': 0.8199999999999998}",20,0,-76.68066074909869,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
181,False,"{'a': 0.7, 'e': 0.8189999999999998}",20,10,-21.525563593667215,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.8179999999999998}",20,0,-67.84104008963588,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
183,False,"{'a': 0.7, 'e': 0.8169999999999998}",25,0,-114.45533504114087,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
184,False,"{'a': 0.7, 'e': 0.8159999999999998}",20,0,-84.52528816471533,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
185,False,"{'a': 0.7, 'e': 0.8149999999999998}",20,13,-72.30160539230839,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
